Obs#	year	month	day	SO2	NO2	Dust	Admission
120	94	4	30	42.42	48.58	37.77	209
121	94	5	1	22.02	35.64	23.02	159
122	94	5	2	28.33	36.66	27.31	251
123	94	5	3	54.66	78.85	47.25	225
124	94	5	4	28.36	66.73	52.71	222
125	94	5	5	23.59	67.85	70.45	196
126	94	5	6	29.1	83.2	78.44	208
127	94	5	7	41.25	97.11	78.08	189
128	94	5	8	50.43	95.98	90.45	196
129	94	5	9	15.57	56.25	40.86	258
130	94	5	10	41.32	40.46	30.91	235
131	94	5	11	39.09	62.81	39.02	253
132	94	5	12	25.22	38.4	32.85	218
133	94	5	13	38.57	23.24	19	195
134	94	5	14	23.75	28.89	16.27	182
135	94	5	15	30.68	58	39.57	195
136	94	5	16	30.57	35.7	27.05	248
137	94	5	17	29.19	45.84	27.18	211
138	94	5	18	24.47	56.8	50.81	241
139	94	5	19	14.33	47.33	47.75	197
140	94	5	20	14.62	50.41	40.33	216
141	94	5	21	26.1	58.42	54.1	208
142	94	5	22	37.93	49.95	45.42	197
143	94	5	23	31.77	35.78	38.09	210
144	94	5	24	32.01	39.65	35.02	210
145	94	5	25	38.43	41.24	33.67	223
146	94	5	26	30.61	38.78	35.28	206
147	94	5	27	47.78	57.13	41.78	199
148	94	5	28	15.61	51.41	43.53	181
149	94	5	29	14.72	50.17	38.98	187
150	94	5	30	12.01	39.64	21.75	241
151	94	5	31	14.27	57.8	32.75	207
152	94	6	1	11.8	49.97	40.4	240
153	94	6	2	10.82	45.72	43.32	202
154	94	6	3	8.36	43.96	45.92	182
155	94	6	4	8.72	46.26	38.8	177
156	94	6	5	9.2	38.73	31.6	152
157	94	6	6	10.68	31.11	29.21	230
158	94	6	7	6.95	26.04	21.04	225
159	94	6	8	9.93	34.22	24.02	225
160	94	6	9	16.81	25.88	27.72	219
161	94	6	10	21.5	35.49	26.56	181
162	94	6	11	27.69	27.95	22.21	192
163	94	6	12	26.81	26.54	20.05	175
164	94	6	13	20.9	27.55	24.15	182
165	94	6	14	19.2	27.96	29.24	218
166	94	6	15	20.62	32.43	32.25	242
167	94	6	16	13.79	31.59	36.58	215
168	94	6	17	21.82	34.07	40.92	177
169	94	6	18	17.56	49.12	27.17	199
170	94	6	19	23.46	52.77	38.06	187
171	94	6	20	16.96	40.5	30.35	215
172	94	6	21	14.11	32.47	23.44	252
173	94	6	22	14.25	28.42	24.68	236
174	94	6	23	13.96	26.14	22.1	248
175	94	6	24	11.96	21.93	24.36	211
176	94	6	25	18.7	25.86	20.79	212
177	94	6	26	17.52	28.21	24.87	189
178	94	6	27	15.67	26.75	34.64	263
179	94	6	28	15.32	19.43	24.28	240
180	94	6	29	15.24	21.64	22.07	233
181	94	6	30	50.22	33.48	27.01	227
182	94	7	1	54.54	45.27	31.66	220
183	94	7	2	63.35	77.28	68.16	217
184	94	7	3	9.81	24.5	29.29	196
185	94	7	4	13.36	32.86	99	261
186	94	7	5	16.33	33.57	29.57	216
187	94	7	6	12.34	26.73	25.7	237
188	94	7	7	14.51	30.56	21.83	230
189	94	7	8	12.28	23.62	18.05	214
190	94	7	9	16.97	33.48	33.42	221
191	94	7	10	54.25	68.57	80.97	231
192	94	7	11	40.42	54	68.98	307
193	94	7	12	16.48	28.34	26.59	269
194	94	7	13	15.65	31.57	22.68	269
195	94	7	14	17.36	36.65	24.8	264
196	94	7	15	16.55	28.75	27.85	257
197	94	7	16	17.78	23.85	28.57	204
198	94	7	17	16.22	22.55	25	260
199	94	7	18	12.63	21.16	21.16	268
200	94	7	19	12.23	24.77	22.14	256
201	94	7	20	15.77	32.94	26.8	253
202	94	7	21	26.96	43.71	29.32	233
203	94	7	22	19.75	46.96	38.2	233
204	94	7	23	18.56	47.2	32.4	195
205	94	7	24	11.31	40.86	26.33	255
206	94	7	25	25	51.38	36.46	266
207	94	7	26	13.86	39.52	27.32	236
208	94	7	27	10.85	32.21	22.49	282
209	94	7	28	7.74	25.51	19.71	239
210	94	7	29	6.69	18.94	19.12	230
211	94	7	30	12.32	21.68	23.19	208
212	94	7	31	8.8	21.17	19.86	223
213	94	8	1	17.26	32	28.6	269
214	94	8	2	12.94	28.72	22.22	276
215	94	8	3	58.1	71.59	61.49	262
216	94	8	4	36.41	57.69	39.63	216
217	94	8	5	25.93	31.9	22.75	211
218	94	8	6	18.59	28.19	32.63	214
219	94	8	7	21.04	41.71	36.68	192
220	94	8	8	33.15	39.75	37.56	228
221	94	8	9	33.03	35.92	30.54	215
222	94	8	10	23.02	33.08	35.59	240
223	94	8	11	22.06	35.19	34.18	224
224	94	8	12	28.06	37.79	34.08	215
225	94	8	13	30.92	38.39	36.09	205
226	94	8	14	40.7	53.01	30.58	172
227	94	8	15	32.01	48.8	23.39	209
228	94	8	16	36.48	49.41	39.57	205
229	94	8	17	40.87	43.99	51.31	223
230	94	8	18	51.54	57.38	61.71	230
231	94	8	19	51.62	66.09	56.5	237
232	94	8	20	68.49	101.27	86.99	159
233	94	8	21	55.88	83.71	72.3	173
234	94	8	22	66.55	105.11	97.92	275
235	94	8	23	36.33	65.54	64.1	231
236	94	8	24	27.24	33.66	29.58	218
237	94	8	25	39.51	64.89	47.56	188
238	94	8	26	25.46	42.48	36.14	168
239	94	8	27	8.65	22.2	18.79	176
240	94	8	28	9.7	26.35	19.53	175
241	94	8	29	11.93	31.11	22.94	186
242	94	8	30	16.75	38.14	28.68	235
243	94	8	31	18.05	44.59	35.53	231
244	94	9	1	52.92	79.21	80.72	213
245	94	9	2	60.61	70.63	76	210
246	94	9	3	14.04	21.49	21.8	213
247	94	9	4	9.42	19.15	17.13	190
248	94	9	5	15.63	27.54	20.23	245
249	94	9	6	16.77	30.15	26.86	218
250	94	9	7	17.62	31.2	39.25	231
251	94	9	8	20.63	35.73	34.83	218
252	94	9	9	41.07	53.89	43.14	220
253	94	9	10	63.18	75.51	61.74	209
254	94	9	11	40.34	71.96	74.8	174
255	94	9	12	11.13	35.85	23.63	242
256	94	9	13	13.41	40.33	30.28	214
257	94	9	14	15.46	44.91	32.63	232
258	94	9	15	14.88	45.28	34.58	197
259	94	9	16	17.49	53.67	40.98	199
260	94	9	17	31.47	75.28	60.87	183
261	94	9	18	19.99	55.26	42.99	204
262	94	9	19	25.23	65.6	45.67	252
263	94	9	20	16.13	46.36	31.88	196
264	94	9	21	13.51	43.49	33.13	229
265	94	9	22	31.87	40.28	36.06	252
266	94	9	23	17.92	53.7	30.75	206
267	94	9	24	20.01	60.91	55.5	213
268	94	9	25	15.97	54.16	70.18	193
269	94	9	26	25.13	73.65	81.21	270
270	94	9	27	24.86	79.71	76.58	228
271	94	9	28	26.29	82.05	80.94	212
272	94	9	29	28.63	75.65	96.88	240
273	94	9	30	27.56	81.95	101.47	254
274	94	10	1	23.04	76.46	91.89	235
275	94	10	2	16.5	62.68	85.77	237
276	94	10	3	19.92	70.12	77.99	285
277	94	10	4	22.15	68.72	64.83	259
278	94	10	5	22.97	71.65	62.79	276
279	94	10	6	19.42	59.9	52.94	243
280	94	10	7	19.19	53.77	40.4	220
281	94	10	8	28.07	69.5	52.54	230
282	94	10	9	26.84	58.56	66.5	220
283	94	10	10	19.76	50.43	56.48	304
284	94	10	11	18.81	56.87	54.41	263
285	94	10	12	25.66	64.92	43.29	253
286	94	10	13	13.23	46.09	32.15	220
287	94	10	14	15.88	51.03	44.27	247
288	94	10	15	14.69	47.19	45.21	181
289	94	10	16	11.89	39.52	35.74	230
290	94	10	17	18.29	52.41	39.79	226
291	94	10	18	12.79	38.43	34.8	252
292	94	10	19	13.25	46.03	49.46	205
293	94	10	20	10.88	39.6	53.82	205
294	94	10	21	12.41	47.72	57.74	212
295	94	10	22	15.66	60.46	52.71	249
296	94	10	23	13.57	57.46	53.63	232
297	94	10	24	16.57	66.69	63.61	295
298	94	10	25	22.6	82.6	69.64	279
299	94	10	26	22.43	83.32	75.85	278
300	94	10	27	26.65	95.55	74.18	273
301	94	10	28	46.65	111.05	105.43	265
302	94	10	29	23.7	82.78	75.39	249
303	94	10	30	17.44	67.47	96.64	213
304	94	10	31	22.08	79.82	88.14	294
305	94	11	1	18.95	71.61	68.24	285
306	94	11	2	22.57	79.5	60.5	275
307	94	11	3	17.14	66.83	51.6	235
308	94	11	4	21.4	74.93	88.93	246
309	94	11	5	21.75	78.33	97.42	246
310	94	11	6	21.71	83.64	93.89	254
311	94	11	7	21.23	75.81	105.93	326
312	94	11	8	15.17	57.47	101.5	270
313	94	11	9	19.8	76.12	76.57	244
314	94	11	10	19.16	86.86	79.15	253
315	94	11	11	10.12	63.2	50.22	240
316	94	11	12	9.79	60.05	45.53	228
317	94	11	13	6.06	55.87	36.59	249
318	94	11	14	8.61	38.49	34.5	275
319	94	11	15	10.07	43.67	39.51	247
320	94	11	16	12.46	52.77	48.37	273
321	94	11	17	24.36	78.49	72.18	260
322	94	11	18	19.81	77.38	77.21	226
323	94	11	19	12.58	58.1	59.22	224
324	94	11	20	7.83	46.61	51.6	194
325	94	11	21	21.06	73.22	75.39	267
326	94	11	22	15.24	62.67	73.74	252
327	94	11	23	16.86	64.22	68.74	255
328	94	11	24	18.28	70.1	64.79	222
329	94	11	25	11.6	51.4	44.57	235
330	94	11	26	16.74	76.01	72.52	229
331	94	11	27	12.69	59.3	55.99	237
332	94	11	28	24.97	67.75	60.34	300
333	94	11	29	38.79	88.89	93.97	267
334	94	11	30	14.18	50.1	47.05	257
335	94	12	1	16.43	59.95	43.12	240
336	94	12	2	14.18	50.34	47.13	258
337	94	12	3	12.72	45.83	31.33	225
338	94	12	4	12.49	40.84	24.43	211
339	94	12	5	17.45	56.23	41.08	261
340	94	12	6	25.12	68.89	55.79	247
341	94	12	7	20.84	61.5	54.58	254
342	94	12	8	12.42	57.67	41.96	223
343	94	12	9	13.54	47.64	47.17	234
344	94	12	10	15.41	51.76	49.22	240
345	94	12	11	11.67	43.88	33.57	208
346	94	12	12	28.28	47.7	33.76	279
347	94	12	13	15.5	38.56	23.71	239
348	94	12	14	19.03	46.58	36.25	262
349	94	12	15	18.54	45.71	41.7	227
350	94	12	16	15.42	42.06	29.19	240
351	94	12	17	16.75	43.58	40.64	206
352	94	12	18	13.9	39.88	35.02	226
353	94	12	19	11.86	39.45	52.29	289
354	94	12	20	18.86	47.21	47.41	304
355	94	12	21	16.03	46.64	35.61	279
356	94	12	22	28.22	71.09	70.52	258
357	94	12	23	38.29	95.14	86.96	275
358	94	12	24	18.46	65.14	38.13	264
359	94	12	25	12.09	45.5	14.96	227
360	94	12	26	13.22	45.11	20.17	284
361	94	12	27	15.56	42.61	29.11	224
362	94	12	28	14.23	43.24	39.06	322
363	94	12	29	16.08	48.05	41.33	236
364	94	12	30	23.29	50.05	45.91	265
365	94	12	31	20.04	48.66	65.2	231
366	95	1	1	10.22	35.04	48.26	207
367	95	1	2	14.22	45.83	45.29	235
368	95	1	3	19.7	51.39	49.38	299
369	95	1	4	16.09	47.21	34.35	284
370	95	1	5	18.37	58.13	46.18	238
371	95	1	6	22.74	70.02	45.47	249
372	95	1	7	31.11	92.45	63.04	266
373	95	1	8	32.04	98.21	72.71	287
374	95	1	9	64.14	122.44	117.58	351
375	95	1	10	15.42	65.82	69.75	317
376	95	1	11	21.87	58.92	75.67	328
377	95	1	12	22.93	58.31	92.79	275
378	95	1	13	27.1	62.94	62.64	259
379	95	1	14	17.98	54.88	64.63	261
380	95	1	15	17.66	60.81	79.11	255
381	95	1	16	30.19	78.7	91.77	308
382	95	1	17	17.51	61.47	62.9	291
383	95	1	18	18.13	69.53	63.77	274
384	95	1	19	22.07	81.36	65.24	321
385	95	1	20	15.16	66.22	64.53	294
386	95	1	21	12.29	55.8	44.98	269
387	95	1	22	27.54	69.85	53.42	268
388	95	1	23	27.91	58.05	61.18	335
389	95	1	24	14.85	48.82	51.99	281
390	95	1	25	16.74	52.39	53.45	321
391	95	1	26	19.8	52.44	56.5	256
392	95	1	27	11.44	40.54	23.23	216
393	95	1	28	11.83	41.77	23.19	263
394	95	1	29	11.34	46.55	36.17	213
395	95	1	30	10.76	42.3	35.89	238
396	95	1	31	12.7	48.3	55.05	189
397	95	2	1	18.14	53.17	61.59	289
398	95	2	2	19.01	59.84	63.79	289
399	95	2	3	18.23	55.22	70.13	349
400	95	2	4	14.33	49.95	59.01	315
401	95	2	5	16.51	53.51	55.54	273
402	95	2	6	21.01	72.51	52.93	335
403	95	2	7	18.15	73.62	44.46	320
404	95	2	8	30.39	82.75	54.71	350
405	95	2	9	43.76	97.34	87.84	357
406	95	2	10	16.2	58.26	55.09	302
407	95	2	11	19.52	69.76	61.23	262
408	95	2	12	46.52	106.14	80.92	328
409	95	2	13	47.61	86.23	63.02	387
410	95	2	14	12.22	54.46	37.19	286
411	95	2	15	13.4	54.98	26.25	311
412	95	2	16	14.84	56.03	49.3	277
413	95	2	17	12.95	54.77	60.89	269
414	95	2	18	32.69	71.64	85.62	306
415	95	2	19	10.13	51.77	31.71	247
416	95	2	20	10.78	49.61	26.8	319
417	95	2	21	10.75	53.95	28.09	273
418	95	2	22	12.48	41.7	18.62	322
419	95	2	23	14.86	46.25	31.47	318
420	95	2	24	16.92	46.67	35.15	297
421	95	2	25	16.56	45.96	42.74	306
422	95	2	26	12.04	45.92	38.19	309
423	95	2	27	27.25	56.23	61.63	379
424	95	2	28	24.97	60.12	78.33	335
425	95	3	1	12.22	53.89	72.06	333
426	95	3	2	13.93	65.92	35.01	366
427	95	3	3	16.68	63.06	55.97	350
428	95	3	4	21.14	63.23	97.11	290
429	95	3	5	14.09	61.91	87.58	356
430	95	3	6	19.66	75.09	73.75	450
431	95	3	7	19.32	81.51	77.62	415
432	95	3	8	14.4	67.76	65.45	437
433	95	3	9	31.43	75.33	70.94	376
434	95	3	10	23.64	63.05	49.31	380
435	95	3	11	18.09	64.29	68.19	327
436	95	3	12	8.57	45.06	30.15	314
437	95	3	13	9.05	49.13	159.73	381
438	95	3	14	9.57	51.63	47.66	363
439	95	3	15	15.05	63.36	42.54	404
440	95	3	16	17.57	63.38	51.94	362
441	95	3	17	20.91	45.35	34.25	335
442	95	3	18	10.96	35.69	20.36	344
443	95	3	19	10	41.93	43.34	279
444	95	3	20	13.14	61.69	55.31	351
445	95	3	21	43.7	101.21	77.59	316
446	95	3	22	60.82	102.18	80.29	332
447	95	3	23	46.76	80.51	64.69	338
448	95	3	24	46.34	68.92	70.03	321
449	95	3	25	26.57	49.46	48.06	251
450	95	3	26	8.65	47.02	83.97	262
451	95	3	27	12.57	60.52	47.92	345
452	95	3	28	12.77	58.88	61.55	315
453	95	3	29	48.33	88.35	104.12	358
454	95	3	30	32.91	64.06	62	340
455	95	3	31	11.65	56.64	23.73	287
456	95	4	1	6.83	53.07	23.51	291
457	95	4	2	6.53	50.43	24.63	295
458	95	4	3	6.96	47.93	26.67	360
459	95	4	4	9.14	53.57	47.57	293
460	95	4	5	8.91	54.01	44.06	277
461	95	4	6	46.47	87.09	112.2	359
462	95	4	7	18.12	58.72	47.19	299
463	95	4	8	12.45	66.83	54.16	301
464	95	4	9	27.09	66.61	59.41	345
465	95	4	10	33.18	74.9	81.9	391
466	95	4	11	41.46	80.24	81.91	367
467	95	4	12	22.02	64.16	68.59	377
468	95	4	13	12.43	57.12	67.58	343
469	95	4	14	45.62	46.3	46.09	273
470	95	4	15	50.31	38.35	40.91	360
471	95	4	16	37.29	32.83	30.4	295
472	95	4	17	15.48	33.06	31.18	311
473	95	4	18	29.42	43.85	34.67	373
474	95	4	19	29.37	51.97	46.23	348
475	95	4	20	7.53	48.55	54.66	281
476	95	4	21	9.51	49.33	47.75	344
477	95	4	22	33.45	43.17	34.7	289
478	95	4	23	30.68	45.02	34.67	313
479	95	4	24	7.25	41.99	42.4	318
480	95	4	25	32.16	54.17	54.38	296
481	95	4	26	10.8	47.32	42.97	325
482	95	4	27	7.47	46.38	52.27	286
483	95	4	28	8.51	47.34	42.88	316
484	95	4	29	24.33	53.15	41.44	236
485	95	4	30	25.95	41.58	33.86	264
486	95	5	1	33.12	42.56	33.97	314
487	95	5	2	39.81	41.3	31.39	297
488	95	5	3	10.23	42.38	34.44	326
489	95	5	4	6.31	50.84	29.15	273
490	95	5	5	8.59	50.76	28.35	291
491	95	5	6	16.72	82.79	88.91	248
492	95	5	7	36	101.49	103.8	281
493	95	5	8	9.56	68.7	70.59	304
494	95	5	9	9.03	64.56	48.65	308
495	95	5	10	16.73	73.03	53.38	352
496	95	5	11	6.64	52.78	54.59	320
497	95	5	12	6.64	51.7	46.37	285
498	95	5	13	7.73	50.36	19.45	293
499	95	5	14	39.49	74.94	50.22	277
500	95	5	15	12.59	54.62	83.62	362
501	95	5	16	7.37	50.46	65.17	322
502	95	5	17	15.6	68.23	41.77	300
503	95	5	18	16.86	72.73	48.01	285
504	95	5	19	27.68	41.14	40.29	294
505	95	5	20	23.96	38.04	36.86	282
506	95	5	21	17.27	37.62	36.12	278
507	95	5	22	7.97	47.71	34.52	360
508	95	5	23	4.96	49.74	38.09	297
509	95	5	24	7.27	53.5	43.75	340
510	95	5	25	26.72	49.21	55.46	350
511	95	5	26	53.13	40.12	39.3	326
512	95	5	27	42.34	34.79	28.9	245
513	95	5	28	9.22	28.83	27.51	260
514	95	5	29	42.05	39.95	33.86	366
515	95	5	30	10.2	27.53	25.33	313
516	95	5	31	5.18	24.96	23.02	327
517	95	6	1	6.14	26.55	26.56	285
518	95	6	2	4.8	22.16	23.06	231
519	95	6	3	17.73	27.38	27.73	223
520	95	6	4	33.46	31.47	25.75	256
521	95	6	5	12.96	39.27	31.24	329
522	95	6	6	5.77	42.46	50.98	284
523	95	6	7	6.26	44.55	48.61	281
524	95	6	8	18.46	47.41	36.92	293
525	95	6	9	17.92	51.54	38.43	246
526	95	6	10	16.14	57.15	40.15	227
527	95	6	11	5.49	41.27	23.79	212
528	95	6	12	14.41	60.27	44.99	325
529	95	6	13	9.86	50.43	44.37	326
530	95	6	14	28.48	36.22	26.48	288
531	95	6	15	19.48	21.68	31	280
532	95	6	16	24.71	28.9	31.79	279
533	95	6	17	17.75	26.32	28.64	218
534	95	6	18	15.55	38.3	26.52	222
535	95	6	19	26.64	27.03	23.68	257
536	95	6	20	14.31	24.31	24.42	304
537	95	6	21	14.58	23.26	26.45	291
538	95	6	22	11.89	23.26	26.36	253
539	95	6	23	15.39	24.19	28.84	246
540	95	6	24	13.1	24.44	24.33	210
541	95	6	25	11.76	24.23	20.4	235
542	95	6	26	16.92	31.94	27.42	308
543	95	6	27	15.64	32.51	30.64	277
544	95	6	28	20.83	35.96	30.08	272
545	95	6	29	10.23	28.21	22.58	277
546	95	6	30	20.06	33.22	23.2	288
547	95	7	1	7.53	30.15	17.88	259
548	95	7	2	21.14	36.88	20.15	219
549	95	7	3	28.33	39.37	27.63	307
550	95	7	4	27.8	40.22	32.13	269
551	95	7	5	29.04	34.75	30.9	302
552	95	7	6	29.1	32.2	24.51	307
553	95	7	7	6.11	24.68	26.55	271
554	95	7	8	6.88	28.01	22.42	288
555	95	7	9	25.14	40.96	24.93	252
556	95	7	10	24.55	33.6	23.92	353
557	95	7	11	24.41	30.46	23.69	269
558	95	7	12	29.95	35.8	25.68	333
559	95	7	13	13.97	41.9	26.44	311
560	95	7	14	25.34	46.62	31.24	283
561	95	7	15	19.19	42.36	35.57	258
562	95	7	16	14.83	33.27	27.87	252
563	95	7	17	16.46	35.49	27.02	303
564	95	7	18	32.12	36.01	26.28	265
565	95	7	19	24.23	39.87	25.38	297
566	95	7	20	17.03	32.57	25.8	327
567	95	7	21	13.27	38.07	32.05	262
568	95	7	22	28.21	46.01	36.98	246
569	95	7	23	15.54	34.24	25.92	219
570	95	7	24	16.55	39.77	27.27	314
571	95	7	25	21.74	43.38	28.6	287
572	95	7	26	27.95	54.17	30.72	315
573	95	7	27	18.38	52.21	18.26	304
574	95	7	28	10.54	37.24	27.27	262
575	95	7	29	28.74	71.93	60.75	248
576	95	7	30	16.39	51.22	53.03	240
577	95	7	31	37.62	62.52	68.93	305
578	95	8	1	19.73	30.32	27.48	274
579	95	8	2	14.85	31.69	27.4	327
580	95	8	3	16.11	35.13	18.33	235
581	95	8	4	10.59	28.25	17.87	270
582	95	8	5	7.48	28.86	21.17	223
583	95	8	6	7.43	30.5	25.04	226
584	95	8	7	11.93	37.79	31.04	303
585	95	8	8	18.35	32.84	33.2	297
586	95	8	9	25.89	48.5	39.3	273
587	95	8	10	26.23	57.78	50.23	290
588	95	8	11	7.28	25.81	18.27	284
589	95	8	12	4.67	19.68	20.54	222
590	95	8	13	19.99	29.6	31.28	251
591	95	8	14	21.38	44.76	30.66	283
592	95	8	15	14.58	41.14	27.34	285
593	95	8	16	10.94	43.86	28.56	319
594	95	8	17	10.31	44.41	25.56	293
595	95	8	18	14.06	53.42	35.22	278
596	95	8	19	9.48	40.28	29.88	238
597	95	8	20	6.95	32.67	24.21	250
598	95	8	21	8.32	33.65	30.44	298
599	95	8	22	12.6	31.37	29.96	300
600	95	8	23	46.2	54.84	39.1	346
601	95	8	24	51.98	90.12	78.54	283
602	95	8	25	32.28	85.38	94.91	300
603	95	8	26	7.93	26.08	18.11	222
604	95	8	27	4.73	19.69	14.77	202
605	95	8	28	5.51	16.41	18	219
606	95	8	29	8.48	28.81	27.43	317
607	95	8	30	36.78	59.27	50.2	311
608	95	8	31	99	38.18	66.33	248
609	95	9	1	99	29.16	20.27	275
610	95	9	2	7.4	23.21	24.01	240
611	95	9	3	23.36	43.76	39.54	220
612	95	9	4	45.29	71.56	59.79	337
613	95	9	5	35.11	62.62	68.57	278
614	95	9	6	6.53	23.71	21.82	284
615	95	9	7	7.07	23.5	25.53	249
616	95	9	8	13.01	32.69	36.94	257
617	95	9	9	38.82	54.9	47.12	201
618	95	9	10	20.6	40.04	38.17	256
619	95	9	11	9.69	28.65	25.17	285
620	95	9	12	8.35	41.52	42.32	281
621	95	9	13	11.52	50.99	42.65	327
622	95	9	14	12.5	54.1	52.14	244
623	95	9	15	17.48	58.52	58.45	238
624	95	9	16	18.22	59.36	70.43	226
625	95	9	17	8.91	47.46	60.82	225
626	95	9	18	8.89	46.08	58.99	282
627	95	9	19	8.77	54.01	44.08	288
628	95	9	20	9.03	48.61	29.6	280
629	95	9	21	9.8	51	36.92	259
630	95	9	22	20.38	73.67	77.44	282
631	95	9	23	27.63	91.98	74.24	255
632	95	9	24	15.03	71.01	60.67	302
633	95	9	25	8.91	57.76	55.29	343
634	95	9	26	11.75	64.78	71.73	278
635	95	9	27	8.14	50.8	58.81	312
636	95	9	28	6.29	45.59	48.28	282
